time10,lat10,lng10,accuracy10,altitude10,strenght10
135436,12.9225578,77.6856501,3,801,15
136435,12.9225572,77.68565,3,800,15
137436,12.9225568,77.6856499,3,801,15
138485,12.9225565,77.6856501,3,801,15
139485,12.9225565,77.6856503,3,801,15
140485,12.9225565,77.6856504,3,801,15
141486,12.9225565,77.6856505,3,801,15
142536,12.9225565,77.6856506,3,801,15
143537,12.9225565,77.6856506,3,801,15
144586,12.9225565,77.6856506,3,801,15
145585,12.9225565,77.6856506,3,801,15
146585,12.9225565,77.6856506,3,801,15
147587,12.9225565,77.6856505,3,801,15
148636,12.9225565,77.6856505,3,801,15
149635,12.9225565,77.6856505,3,801,15
150637,12.9225565,77.6856504,3,801,15
151636,12.9225565,77.6856504,3,801,26
152636,12.9225565,77.6856504,3,801,26
153685,12.9225564,77.6856503,3,801,26
154686,12.9225564,77.6856503,3,801,21
155687,12.9225563,77.6856503,3,801,27
156704,12.9225563,77.6856503,3,801,50
157686,12.9225563,77.6856502,3,801,50
158686,12.9225562,77.6856502,3,801,50
159688,12.9225561,77.6856502,3,801,50
160754,12.9225561,77.6856503,3,801,50
161785,12.9225561,77.6856503,3,801,50
162786,12.922556,77.6856503,3,801,50
163787,12.922556,77.6856503,3,801,50
164862,12.922556,77.6856503,3,801,21
165835,12.922556,77.6856503,3,800,16
166835,12.922556,77.6856503,3,800,16
167837,12.922556,77.6856503,3,800,15
168887,12.9225561,77.6856503,3,800,18
169886,12.9225561,77.6856503,3,800,12
170886,12.922556,77.6856503,3,800,19
171887,12.9225561,77.6856503,3,800,29
172904,12.9225561,77.6856503,3,801,29
173886,12.9225561,77.6856503,3,801,24
174886,12.9225561,77.6856503,3,801,20
175936,12.9225561,77.6856503,3,801,20
176987,12.9225561,77.6856503,3,801,20
178035,12.9225562,77.6856503,3,801,17
179035,12.9225562,77.6856503,3,801,17
180035,12.9225562,77.6856503,3,801,21
181035,12.9225562,77.6856503,3,801,18
182035,12.9225562,77.6856502,3,801,23
183086,12.9225562,77.6856502,3,800,22
184086,12.9225562,77.6856502,3,800,18
185106,12.9225562,77.6856503,3,800,16
186086,12.9225562,77.6856502,3,801,14
187086,12.9225562,77.6856502,3,801,14
188086,12.9225562,77.6856502,3,801,14
189085,12.9225561,77.6856502,3,801,14
190085,12.9225561,77.6856502,3,801,14
191087,12.922556,77.6856502,3,801,14
192085,12.922556,77.6856502,3,801,14
193085,12.922556,77.6856501,3,801,14
194085,12.922556,77.6856501,3,801,14
195087,12.922556,77.6856501,3,801,32
196090,12.922556,77.68565,3,801,32
197092,12.922556,77.68565,3,801,32
198136,12.922556,77.68565,3,801,32
199140,12.9225559,77.68565,3,801,32
200189,12.9225559,77.6856499,3,801,32
201239,12.9225559,77.6856499,3,801,32
202240,12.9225559,77.6856499,3,799,32
203235,12.9225559,77.6856499,3,800,32
204242,12.9225559,77.6856499,3,800,32
205241,12.9225559,77.6856498,3,800,32
206242,12.9225559,77.6856499,3,800,32
207241,12.9225559,77.6856499,3,800,32
208287,12.9225559,77.6856498,3,800,32
209340,12.9225559,77.6856498,3,800,32
210293,12.9225559,77.6856498,3,800,32
211290,12.9225559,77.6856498,3,801,32
212341,12.9225558,77.6856497,3,801,11
213431,12.9225558,77.6856497,3,800,11
214385,12.9225558,77.6856497,3,800,11
215391,12.9225558,77.6856497,3,800,11
216390,12.9225558,77.6856497,3,800,11
217442,12.9225558,77.6856497,3,800,11
218491,12.9225557,77.6856497,3,800,11
219491,12.9225557,77.6856497,4,800,11
220488,12.9225557,77.6856496,4,800,11
221540,12.9225556,77.6856496,4,800,11
222540,12.9225556,77.6856496,4,801,11
223542,12.9225556,77.6856496,3,800,13
224542,12.9225556,77.6856496,3,800,13
225590,12.9225556,77.6856496,3,800,13
226589,12.9225556,77.6856496,3,800,13
227589,12.9225557,77.6856496,3,800,13
228595,12.9225556,77.6856496,3,800,13
229591,12.9225556,77.6856496,3,800,13
230590,12.9225556,77.6856496,3,800,13
231642,12.9225556,77.6856496,3,800,13
232639,12.9225556,77.6856495,3,800,13
233645,12.9225556,77.6856495,3,800,45
234687,12.9225556,77.6856495,3,800,45
235738,12.9225556,77.6856495,3,800,45
236740,12.9225556,77.6856495,3,800,45
237789,12.9225556,77.6856494,3,799,45
238791,12.9225556,77.6856494,3,800,45
239792,12.9225556,77.6856494,3,800,45
240840,12.9225555,77.6856494,3,800,35
241927,12.9225555,77.6856494,3,800,35
242890,12.9225555,77.6856494,3,800,35
243940,12.9225555,77.6856494,3,800,35
244939,12.9225555,77.6856493,3,800,35
245940,12.9225555,77.6856493,3,800,35
246991,12.9225555,77.6856493,3,801,35
247990,12.9225555,77.6856493,3,801,35
248992,12.9225555,77.6856493,3,801,35
250080,12.9225555,77.6856492,3,801,35
251089,12.9225555,77.6856492,3,801,35
252140,12.9225555,77.6856492,3,801,35
253139,12.9225554,77.6856492,3,801,35
254137,12.9225554,77.6856492,3,801,35
255138,12.9225554,77.6856492,3,801,35
256135,12.9225554,77.6856492,3,801,35
257135,12.9225554,77.6856492,3,801,35
258135,12.9225553,77.6856492,3,801,35
259135,12.9225553,77.6856492,3,801,35
260137,12.9225553,77.6856491,3,801,35
261136,12.9225553,77.6856491,3,801,35
262135,12.9225553,77.6856491,3,801,35
263137,12.9225553,77.6856491,3,801,35
264186,12.9225553,77.6856491,3,801,35
265235,12.9225553,77.685649,3,801,35
266236,12.9225553,77.685649,3,801,35
267236,12.9225553,77.6856489,3,801,35
268235,12.9225552,77.6856489,3,801,35
269236,12.9225552,77.6856488,3,801,15
270260,12.9225551,77.6856488,3,801,15
271237,12.9225551,77.6856488,3,801,15
272286,12.9225551,77.6856487,3,801,15
273285,12.9225551,77.6856487,3,801,15
274309,12.9225551,77.6856486,3,801,15
275335,12.9225551,77.6856486,3,801,15
276336,12.9225551,77.6856486,3,801,15
277335,12.9225551,77.6856485,3,801,15
278356,12.9225551,77.6856485,3,801,15
279386,12.9225551,77.6856485,3,801,15
280436,12.9225551,77.6856485,3,801,15
281486,12.9225551,77.6856485,3,801,15
282485,12.9225551,77.6856484,3,801,15
283488,12.9225551,77.6856484,3,801,15
284536,12.9225551,77.6856484,3,801,15
285535,12.9225551,77.6856483,3,801,15
286536,12.9225551,77.6856483,3,801,15
287536,12.9225551,77.6856483,3,801,15
288536,12.922555,77.6856483,3,801,15
289535,12.922555,77.6856482,3,801,15
290536,12.9225551,77.6856482,3,801,15
291535,12.9225551,77.6856482,3,801,15
292536,12.9225548,77.6856483,3,800,15
293586,12.9225535,77.6856455,3,800,15
294585,12.9225599,77.6856416,3,798,15
295587,12.9225627,77.6856412,4,798,15
296586,12.9225658,77.6856435,4,798,15
297587,12.9225723,77.6856484,4,799,15
298637,12.9225794,77.6856562,4,799,15
299635,12.9225784,77.6856593,4,800,15
300636,12.9225817,77.6856622,4,799,15
301685,12.9225914,77.6856667,4,798,15
302686,12.9226039,77.6856691,4,798,26
303685,12.9226159,77.6856725,4,798,26
304685,12.9226282,77.6856788,4,798,26
305686,12.9226408,77.6856852,4,797,21
306707,12.9226532,77.685692,4,798,27
307687,12.9226669,77.6857008,4,797,50
308686,12.9226805,77.6857099,4,797,50
309686,12.922693,77.6857159,4,797,50
310686,12.9227022,77.6857175,3,796,50
311685,12.9227085,77.6857163,4,796,50
312734,12.9227189,77.6857138,4,796,50
313737,12.9227318,77.6857114,4,796,50
314740,12.922743,77.6857132,4,796,50
315788,12.9227523,77.6857155,4,796,21
316788,12.9227586,77.6857195,4,796,16
317789,12.9227688,77.6857245,4,796,16
318816,12.9227817,77.6857284,3,796,15
319838,12.9227922,77.6857276,3,794,18
320838,12.9228034,77.6857275,3,795,12
321837,12.9228105,77.6857267,3,795,19
322838,12.9228172,77.6857229,3,795,29
323838,12.9228235,77.6857211,3,795,29
324889,12.9228285,77.6857225,3,795,24
325891,12.9228343,77.6857272,3,795,20
326919,12.9228395,77.6857325,3,796,20
327889,12.9228455,77.6857346,3,796,20
328887,12.9228522,77.6857349,3,796,17
329888,12.9228616,77.6857361,3,796,17
330889,12.9228731,77.6857391,3,796,21
331940,12.9228856,77.6857418,3,796,18
332938,12.9228989,77.6857434,3,796,23
333938,12.9229117,77.6857481,3,797,22
334967,12.9229249,77.6857528,3,796,18
335938,12.9229352,77.6857576,4,796,16
336938,12.9229453,77.6857641,4,796,14
337937,12.9229577,77.685768,4,796,14
338937,12.9229712,77.6857725,4,796,14
339938,12.9229832,77.685776,4,796,14
340938,12.9229935,77.685778,4,796,14
341938,12.9230056,77.6857752,4,796,14
342989,12.9230186,77.6857713,4,795,14
343989,12.9230296,77.6857702,4,795,14
344989,12.9230417,77.6857701,4,795,14
346037,12.9230566,77.6857751,4,794,32
347066,12.9230745,77.6857882,4,795,32
348038,12.9230941,77.6858037,3,795,32
349087,12.923113,77.685816,3,796,32
350088,12.9231374,77.6858231,3,796,32
351088,12.9231623,77.6858285,3,796,32
352087,12.9231851,77.6858367,3,797,32
353088,12.9232057,77.6858427,3,798,32
354088,12.9232216,77.6858468,3,799,32
355089,12.9232354,77.6858485,3,799,32
356138,12.9232479,77.6858508,3,799,32
357140,12.9232599,77.6858532,3,799,32
358139,12.9232724,77.6858565,3,799,32
359221,12.9232844,77.6858589,3,799,32
360189,12.9232948,77.6858601,3,800,32
361189,12.9233097,77.6858576,3,800,32
362188,12.9233235,77.6858537,3,800,32
363190,12.9233344,77.6858491,3,800,11
364239,12.9233412,77.6858466,4,800,11
365288,12.9233483,77.6858497,3,800,11
366289,12.9233555,77.6858521,3,801,11
367339,12.9233626,77.685853,3,800,11
368339,12.923374,77.6858525,3,799,11
369338,12.9233873,77.6858513,3,799,11
370338,12.923398,77.6858535,3,799,11
371391,12.9234078,77.6858579,3,799,11
372388,12.9234153,77.6858607,3,799,11
373389,12.9234092,77.6858636,3,799,11
374437,12.9234164,77.6858677,3,799,13
375464,12.9234267,77.6858684,3,797,13
376437,12.9234351,77.6858688,4,798,13
377438,12.9234413,77.6858688,4,797,13
378439,12.9234477,77.6858669,4,796,13
379439,12.9234565,77.685865,4,797,13
380487,12.9234697,77.685861,4,796,13
381488,12.9234837,77.6858591,4,796,13
382488,12.9234979,77.6858641,4,796,13
383538,12.9235099,77.6858648,4,796,13
384538,12.92352,77.6858666,4,795,45
385538,12.9235341,77.6858661,5,795,45
386538,12.923552,77.6858684,5,796,45
387538,12.9235654,77.6858688,4,796,45
388539,12.9235784,77.6858718,4,795,45
389538,12.9235873,77.6858786,4,797,45
390588,12.9235942,77.6858838,4,798,45
391587,12.9236029,77.6858877,4,798,35
392588,12.9236126,77.6858918,4,799,35
393637,12.923633,77.6858893,4,797,35
394638,12.9236441,77.6858881,3,797,35
395640,12.9236535,77.6858888,3,796,35
396688,12.923666,77.6858901,4,796,35
397687,12.9236833,77.6858923,4,795,35
398686,12.9237019,77.6858945,4,795,35
399688,12.9237187,77.6858967,4,796,35
400688,12.9237335,77.6859,4,797,35
401687,12.9237471,77.6859045,4,797,35
402688,12.923756,77.6859093,4,798,35
403689,12.9237622,77.6859133,4,799,35
404737,12.9237653,77.6859175,5,798,35
405738,12.9237666,77.6859149,5,797,35
406737,12.9237695,77.6859131,5,797,35
407766,12.9237785,77.6859097,4,796,35
408739,12.9237894,77.6859051,4,796,35
409737,12.9238011,77.6859003,4,795,35
410789,12.9238131,77.6858978,4,796,35
411820,12.9238251,77.6858958,4,797,35
412838,12.9238366,77.6858908,4,797,35
413840,12.9238489,77.6858876,4,797,35
414837,12.923858,77.685879,4,795,35
415870,12.9238618,77.6858732,4,795,35
416890,12.9238672,77.6858695,4,795,35
417893,12.9238784,77.6858674,4,797,35
418887,12.9238911,77.6858676,4,796,35
419888,12.9239038,77.6858687,4,796,15
420889,12.9239133,77.6858701,4,797,15
421888,12.923922,77.6858714,4,797,15
422889,12.9239356,77.6858725,4,797,15
423968,12.9239524,77.6858746,4,796,15
424989,12.9239649,77.6858772,4,796,15
426038,12.9239724,77.685877,4,796,15
427038,12.9239782,77.6858767,4,796,15
428070,12.9239867,77.6858755,4,796,15
429037,12.9239982,77.6858745,4,795,15
430038,12.9240116,77.6858747,4,795,15
431038,12.9240254,77.6858743,4,796,15
432038,12.9240398,77.6858721,4,797,15
433038,12.9240542,77.6858683,4,796,15
434088,12.924069,77.6858667,4,796,15
435138,12.9240858,77.6858691,4,796,15
436139,12.9241015,77.685877,4,796,15
437194,12.9241139,77.6858826,4,797,15
438188,12.9241221,77.6858845,4,797,15
439188,12.9241296,77.6858829,4,797,15
440238,12.9241368,77.6858794,4,797,15
441238,12.9241429,77.6858769,3,797,15
442238,12.9241561,77.6858771,3,797,15
443287,12.9241686,77.6858772,3,798,15
444288,12.9241773,77.6858776,4,797,15
445338,12.9241895,77.685881,4,798,15
446337,12.9242042,77.6858879,4,799,15
447337,12.9242218,77.6858956,4,799,15
448338,12.9242394,77.6859028,5,799,15
449338,12.9242533,77.6859053,5,799,15
450338,12.9242652,77.685905,5,798,15
451389,12.9242722,77.6859036,5,798,15
452389,12.9242766,77.6859006,5,798,15
453388,12.9242824,77.6858969,6,797,26
454388,12.9242899,77.685892,7,796,26
