timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1532483313,0.024976,0.218108,1.197713,-0.054324,-0.068257,-0.012993,0.024381,-0.216383,-0.976004,-0.01013,-0.008166,0.011069,7.926819,-28.007721,-41.976318,,,,,,,
1532483313,0.024051,0.217744,1.197469,-0.002158,-0.036276,-0.014101,0.023481,-0.216028,-0.976105,-0.006696,-0.004523,0.014679,7.833313,-27.944397,-41.999451,,,,,,,
1532483313,0.02372,0.217822,1.197276,-0.003343,-0.011851,-0.008674,0.023158,-0.216103,-0.976096,-0.007243,-0.004691,0.015296,7.948242,-27.969635,-41.940002,,,,,,,
,,,,,,,,,,,,,,,,42.473793,-83.405002,245.281952,-1,-1,1532483313,
1532483313,0.023419,0.217562,1.197168,-0.022491,-0.024637,-0.009054,0.022865,-0.215849,-0.976159,-0.001762,-0.009111,0.022393,7.934875,-27.994781,-41.98175,,,,,,,
1532483313,0.022521,0.216863,1.196842,-0.046667,-0.063937,-0.024558,0.021992,-0.215167,-0.976329,0.002422,-0.010266,0.026516,7.803406,-27.95871,-41.969177,,,,,,,
1532483313,0.020785,0.215655,1.196175,-0.068654,-0.105346,-0.043231,0.020302,-0.213987,-0.976625,0.004662,-0.010424,0.021669,7.923401,-27.694916,-42.14093,,,,,,,
1532483313,0.018795,0.214148,1.195066,-0.082175,-0.11167,-0.060523,0.018364,-0.212515,-0.976985,0.006446,-0.006754,0.016154,7.963806,-27.634979,-42.284729,,,,,,,
1532483313,0.017275,0.212268,1.193756,-0.103431,-0.071278,-0.06493,0.016886,-0.210678,-0.97741,0.007955,-0.006195,0.010201,7.882874,-27.569244,-42.257385,,,,,,,
1532483313,0.016885,0.209818,1.192724,-0.136873,-0.010832,-0.043882,0.016514,-0.208282,-0.977929,0.009579,-0.004502,0.013726,7.945312,-27.52533,-42.315674,,,,,,,
1532483313,0.01681,0.206639,1.192021,-0.173208,-0.020496,-0.036012,0.016452,-0.205171,-0.978588,0.013486,-0.003813,0.007671,7.736084,-26.916595,-42.512512,,,,,,,
1532483313,0.016047,0.203231,1.191296,-0.165598,-0.064042,-0.042494,0.015716,-0.201834,-0.979293,0.012329,0.000266,0.005752,7.711609,-26.814056,-42.474121,,,,,,,
1532483313,0.014661,0.200394,1.190412,-0.131453,-0.08949,-0.045252,0.014368,-0.199055,-0.979883,0.012442,-0.00114,0.002496,7.678955,-27.042908,-42.703857,,,,,,,
1532483313,0.01301,0.19821,1.189814,-0.102114,-0.083188,-0.019181,0.012755,-0.196914,-0.980338,0.012865,-0.002686,-0.001535,7.753174,-27.05426,-42.760254,,,,,,,
1532483313,0.011755,0.196254,1.189854,-0.102698,-0.054631,0.011832,0.011529,-0.194997,-0.980736,0.007255,-0.001979,0.000633,7.483582,-26.917389,-42.825012,,,,,,,
1532483313,0.010834,0.194053,1.190422,-0.112644,-0.035599,0.03093,0.010631,-0.192838,-0.981173,-0.001597,-0.006305,0.000811,7.461609,-26.745422,-42.759338,,,,,,,
1532483313,0.010199,0.192018,1.1909,-0.097398,-0.033359,0.012027,0.010011,-0.19084,-0.98157,-0.005831,-0.008653,0.003771,7.222778,-26.624481,-42.92926,,,,,,,
1532483313,0.009196,0.190349,1.190867,-0.078773,-0.064032,-0.015505,0.00903,-0.189202,-0.981897,-0.008389,-0.013969,0.003961,7.241821,-26.737213,-42.92926,,,,,,,
1532483313,0.008134,0.188864,1.190417,-0.074317,-0.051211,-0.02708,0.007989,-0.187743,-0.982186,-0.008996,-0.011857,0.010521,7.235596,-26.654694,-42.973938,,,,,,,
1532483313,0.007334,0.187165,1.190051,-0.094722,-0.042783,-0.017791,0.007206,-0.186075,-0.982509,-0.012745,-0.010047,0.011669,7.158569,-26.249695,-43.156311,,,,,,,
1532483313,0.006615,0.185232,1.189616,-0.096622,-0.041662,-0.030595,0.006502,-0.184175,-0.982872,-0.011812,-0.010512,0.009773,7.221558,-26.277924,-43.072327,,,,,,,
1532483313,0.00579,0.183678,1.188851,-0.066499,-0.053231,-0.047193,0.005693,-0.182647,-0.983162,-0.012269,-0.010407,0.013542,7.287842,-26.494598,-43.167969,,,,,,,
1532483313,0.004818,0.182624,1.187627,-0.050084,-0.060532,-0.071449,0.004738,-0.181611,-0.983359,-0.009941,-0.011901,0.014548,7.209229,-26.25177,-43.302612,,,,,,,
1532483313,0.003704,0.181623,1.185962,-0.055066,-0.075337,-0.089707,0.003643,-0.180626,-0.983545,-0.008374,-0.012184,0.0104,7.409607,-26.07077,-43.257507,,,,,,,
1532483313,0.002438,0.180437,1.184176,-0.063637,-0.07643,-0.08666,0.002398,-0.179459,-0.983762,-0.008548,-0.009109,0.004926,7.303406,-26.270844,-43.379333,,,,,,,
1532483313,0.001493,0.179092,1.182529,-0.070187,-0.046708,-0.079165,0.00147,-0.178136,-0.984005,-0.008519,-0.006404,0.000942,7.27948,-26.111298,-43.363892,,,,,,,
1532483313,0.001245,0.177757,1.181055,-0.067118,-0.020148,-0.073657,0.001225,-0.176823,-0.984242,-0.009785,-0.004894,0.003621,7.155029,-25.853027,-43.382874,,,,,,,
1532483313,0.001075,0.176501,1.179416,-0.061517,-0.029638,-0.088519,0.001058,-0.175586,-0.984463,-0.00884,-0.007016,0.00578,7.321045,-25.670868,-43.30542,,,,,,,
1532483313,0.000682,0.175579,1.177411,-0.033491,-0.033758,-0.107244,0.000671,-0.174678,-0.984625,-0.005081,-0.011601,0.009787,7.280945,-25.6409,-43.360474,,,,,,,
1532483313,0.000647,0.175192,1.175245,-0.017565,-0.011414,-0.105804,0.000637,-0.174297,-0.984693,-0.000255,-0.009983,0.01518,7.507568,-25.944641,-43.383301,,,,,,,
1532483313,0.000885,0.174748,1.17337,-0.02748,-0.003009,-0.087824,0.000872,-0.17386,-0.98477,0.004621,-0.003692,0.018309,7.219421,-25.632568,-43.45813,,,,,,,
1532483313,0.000856,0.173719,1.171731,-0.070217,-0.018001,-0.079021,0.000843,-0.172846,-0.984948,0.012539,-0.004232,0.011499,7.318726,-25.392395,-43.514954,,,,,,,
1532483313,0.000905,0.171856,1.170286,-0.104469,-0.001089,-0.069918,0.000892,-0.171012,-0.985268,0.012292,-0.006112,0.015023,7.456787,-25.526489,-43.245605,,,,,,,
1532483313,0.001042,0.169978,1.169115,-0.084578,-0.01072,-0.050472,0.001027,-0.169161,-0.985588,0.015529,-0.00247,0.015449,7.514404,-25.605804,-43.622864,,,,,,,
1532483313,0.000595,0.168715,1.168408,-0.053039,-0.040547,-0.026675,0.000586,-0.167916,-0.985801,0.01925,-0.001991,0.010246,7.342834,-25.428436,-43.689758,,,,,,,
1532483313,-0.000173,0.167572,1.168099,-0.071477,-0.041731,-0.007819,-0.000171,-0.166788,-0.985993,0.02138,-0.002767,0.004334,7.535828,-25.291473,-43.723938,,,,,,,
1532483313,-0.000461,0.165436,1.168134,-0.126159,0.007,0.01069,-0.000455,-0.164682,-0.986346,0.015668,-0.001196,0.006152,7.490234,-25.05069,-43.654907,,,,,,,
1532483313,0.000189,0.162378,1.168525,-0.170002,0.034531,0.019688,0.000187,-0.161665,-0.986846,0.014996,0.001265,0.016173,7.417908,-24.992767,-43.809937,,,,,,,
1532483313,0.000385,0.158701,1.168804,-0.191107,0.001585,0.010656,0.00038,-0.158035,-0.987433,0.016298,-0.000931,0.015326,7.289368,-24.674255,-43.795654,,,,,,,
1532483313,0.000456,0.154766,1.168968,-0.204891,0.004769,0.00725,0.000451,-0.154149,-0.988047,0.0158,-0.003444,0.018718,7.363037,-24.862976,-43.720276,,,,,,,
1532483313,0.000426,0.150263,1.169287,-0.242385,-0.005986,0.020419,0.000422,-0.149698,-0.988732,0.011999,-0.001196,0.017235,7.354126,-24.840118,-43.928345,,,,,,,
1532483313,0.000352,0.145217,1.169937,-0.258664,0.016243,0.036234,0.000349,-0.144707,-0.989474,0.008471,-0.003684,0.031405,7.361084,-24.316742,-44.183838,,,,,,,
1532483313,0.00146,0.139934,1.170707,-0.27045,0.075753,0.037404,0.001446,-0.139478,-0.990224,0.00594,-0.004077,0.046117,7.423157,-23.998566,-44.200989,,,,,,,
1532483314,0.003429,0.1348,1.171476,-0.251272,0.114072,0.034718,0.003397,-0.134392,-0.990922,0.018301,-0.013588,0.060975,7.550781,-23.849915,-44.23114,,,,,,,
1532483314,0.004595,0.129976,1.172154,-0.245754,0.016295,0.028994,0.004556,-0.12961,-0.991554,0.035102,-0.023435,0.06382,7.630432,-23.539154,-44.436584,,,,,,,
1532483314,0.003063,0.125071,1.17239,-0.242851,-0.123869,-0.006801,0.003039,-0.124745,-0.992184,0.033307,-0.025341,0.06506,7.483887,-23.529449,-44.560913,,,,,,,
1532483314,0.000278,0.121198,1.171596,-0.159885,-0.149002,-0.059863,0.000276,-0.120902,-0.992664,0.030577,-0.022821,0.078892,7.364929,-23.559235,-44.724731,,,,,,,
1532483314,-0.001748,0.119175,1.170627,-0.071235,-0.054427,-0.020657,-0.001736,-0.118893,-0.992905,0.030056,-0.011402,0.071183,7.278381,-23.163605,-44.648926,,,,,,,
1532483314,0.003419,0.119068,1.173564,0.032583,0.549285,0.273719,0.003395,-0.118787,-0.992914,0.00164,0.024594,0.093347,7.509399,-23.25351,-44.812317,,,,,,,
